File	Well	Sample	Cq
20211112_981522_PostDnase_DAL.rdml	H08	TG1080207	NaN
20211112_981522_PostDnase_DAL.rdml	H11	TG1080210	27.299744104967
20211112_981522_PostDnase_DAL.rdml	H10	TG1080209	NaN
20211112_981522_PostDnase_DAL.rdml	H12	NTC	NaN
20211112_981522_PostDnase_DAL.rdml	A11	TG1080126	16.870379701143
20211112_981522_PostDnase_DAL.rdml	A10	TG1080125	NaN
20211112_981522_PostDnase_DAL.rdml	B01	TG1080128	22.7313305327699
20211112_981522_PostDnase_DAL.rdml	A12	TG1080127	NaN
20211112_981522_PostDnase_DAL.rdml	B03	TG1080130	20.4249486807288
20211112_981522_PostDnase_DAL.rdml	B02	TG1080129	15.0362187908672
20211112_981522_PostDnase_DAL.rdml	B05	TG1080132	30.497317684462
20211112_981522_PostDnase_DAL.rdml	B04	TG1080131	NaN
20211112_981522_PostDnase_DAL.rdml	B07	TG1080134	28.6186274129643
20211112_981522_PostDnase_DAL.rdml	B06	TG1080133	NaN
20211112_981522_PostDnase_DAL.rdml	D12	TG1080163	30.5253881459871
20211112_981522_PostDnase_DAL.rdml	E01	TG1080164	26.7676523421563
20211112_981522_PostDnase_DAL.rdml	D10	TG1080161	NaN
20211112_981522_PostDnase_DAL.rdml	D11	TG1080162	31.9019896221036
20211112_981522_PostDnase_DAL.rdml	D08	TG1080159	18.3256004403423
20211112_981522_PostDnase_DAL.rdml	D09	TG1080160	NaN
20211112_981522_PostDnase_DAL.rdml	D06	TG1080157	15.0039996853921
20211112_981522_PostDnase_DAL.rdml	D07	TG1080158	NaN
20211112_981522_PostDnase_DAL.rdml	D04	TG1080155	NaN
20211112_981522_PostDnase_DAL.rdml	D05	TG1080156	NaN
20211112_981522_PostDnase_DAL.rdml	A01	TG1080116	NaN
20211112_981522_PostDnase_DAL.rdml	A05	TG1080120	NaN
20211112_981522_PostDnase_DAL.rdml	A09	TG1080124	24.1659045477267
20211112_981522_PostDnase_DAL.rdml	G05	TG1080192	NaN
20211112_981522_PostDnase_DAL.rdml	G04	TG1080191	15.0304362237244
20211112_981522_PostDnase_DAL.rdml	G03	TG1080190	29.8164394505277
20211112_981522_PostDnase_DAL.rdml	G02	TG1080189	NaN
20211112_981522_PostDnase_DAL.rdml	G01	TG1080188	24.7578883555174
20211112_981522_PostDnase_DAL.rdml	F12	TG1080187	NaN
20211112_981522_PostDnase_DAL.rdml	F11	TG1080186	NaN
20211112_981522_PostDnase_DAL.rdml	F10	TG1080185	NaN
20211112_981522_PostDnase_DAL.rdml	G07	TG1080194	23.2603902961336
20211112_981522_PostDnase_DAL.rdml	G06	TG1080193	NaN
20211112_981524_PostDnase_AW.rdml	B12	TG1082484	NaN
20211112_981524_PostDnase_AW.rdml	C01	TG1082485	NaN
20211112_981524_PostDnase_AW.rdml	C02	TG1082486	31.4581167762814
20211112_981524_PostDnase_AW.rdml	C03	TG1082487	NaN
20211112_981524_PostDnase_AW.rdml	B08	TG1082480	24.0225848274707
20211112_981524_PostDnase_AW.rdml	B09	TG1082481	NaN
20211112_981524_PostDnase_AW.rdml	B10	TG1082482	NaN
20211112_981524_PostDnase_AW.rdml	B11	TG1082483	NaN
20211112_981524_PostDnase_AW.rdml	C04	TG1082488	20.1833282733694
20211112_981524_PostDnase_AW.rdml	C05	TG1082489	NaN
20211112_981524_PostDnase_AW.rdml	A04	TG1082464	30.5996333345614
20211112_981524_PostDnase_AW.rdml	A08	TG1082468	17.2537707504948
20211112_981524_PostDnase_AW.rdml	E11	TG1082519	NaN
20211112_981524_PostDnase_AW.rdml	E10	TG1082518	NaN
20211112_981524_PostDnase_AW.rdml	E07	TG1082515	NaN
20211112_981524_PostDnase_AW.rdml	E06	TG1082514	NaN
20211112_981524_PostDnase_AW.rdml	E09	TG1082517	NaN
20211112_981524_PostDnase_AW.rdml	E08	TG1082516	NaN
20211112_981524_PostDnase_AW.rdml	E03	TG1082511	21.6894825388249
20211112_981524_PostDnase_AW.rdml	E02	TG1082510	25.8280778230902
20211112_981524_PostDnase_AW.rdml	E05	TG1082513	NaN
20211112_981524_PostDnase_AW.rdml	E04	TG1082512	15.7889666851434
20211112_981524_PostDnase_AW.rdml	H04	TG1082548	31.398753518609
20211112_981524_PostDnase_AW.rdml	H05	TG1082549	32.0473280280895
20211112_981524_PostDnase_AW.rdml	G10	TG1082542	20.6844692238819
20211112_981524_PostDnase_AW.rdml	G11	TG1082543	18.2676333511488
20211112_981524_PostDnase_AW.rdml	G08	TG1082540	16.265655094174
20211112_981524_PostDnase_AW.rdml	G09	TG1082541	18.6227450152668
20211112_981524_PostDnase_AW.rdml	H02	TG1082546	31.4677239943924
20211112_981524_PostDnase_AW.rdml	H03	TG1082547	24.8330120014559
20211112_981524_PostDnase_AW.rdml	G12	TG1082544	18.6216804163949
20211112_981524_PostDnase_AW.rdml	H01	TG1082545	NaN
20211112_981524_PostDnase_AW.rdml	A03	TG1082463	NaN
20211112_981524_PostDnase_AW.rdml	A07	TG1082467	23.0648936003767
20211112_981524_PostDnase_AW.rdml	D03	TG1082499	NaN
20211112_981524_PostDnase_AW.rdml	D02	TG1082498	23.9878415037637
20211112_981524_PostDnase_AW.rdml	C09	TG1082493	NaN
20211112_981524_PostDnase_AW.rdml	C08	TG1082492	27.3346196817785
20211112_981524_PostDnase_AW.rdml	C07	TG1082491	33.0450128542813
20211112_981524_PostDnase_AW.rdml	C06	TG1082490	16.7547835010387
